20:03:58 | google.com      | OK      | 58ms | TCP | Попытка: 24
20:03:58 | github.com      | OK      | 72ms | TCP | Попытка: 24
20:03:59 | localhost       | Timeout | 0s | TCP | Попытка: 26
20:03:59 | google.com      | OK      | 56ms | TCP | Попытка: 25
20:03:59 | google.com      | OK      | 62ms | TCP | Попытка: 25
20:04:00 | github.com      | OK      | 82ms | TCP | Попытка: 25
20:04:00 | 192.168.1.1     | Timeout | 0s | TCP | Попытка: 9
20:04:00 | localhost       | Timeout | 0s | TCP | Попытка: 27
20:05:08 | localhost       | OK      | 0s | ICMP | Попытка: 1
20:05:08 | google.com      | Timeout | 0s | ICMP | Попытка: 1
20:05:08 | 192.168.1.1     | Timeout | 0s | ICMP | Попытка: 1
20:05:08 | google.com      | OK      | 131ms | ICMP | Попытка: 1
20:05:09 | github.com      | OK      | 69ms | ICMP | Попытка: 1
20:05:09 | localhost       | OK      | 0s | ICMP | Попытка: 2
20:05:09 | google.com      | OK      | 54ms | ICMP | Попытка: 2
20:05:10 | google.com      | OK      | 54ms | ICMP | Попытка: 2
20:05:10 | github.com      | OK      | 67ms | ICMP | Попытка: 2
20:05:10 | localhost       | OK      | 0s | ICMP | Попытка: 3
20:05:10 | 192.168.1.1     | Timeout | 0s | ICMP | Попытка: 2
20:05:10 | google.com      | OK      | 54ms | ICMP | Попытка: 3
20:05:11 | google.com      | OK      | 54ms | ICMP | Попытка: 3
20:05:11 | github.com      | OK      | 68ms | ICMP | Попытка: 3
20:05:13 | 192.168.1.1     | Timeout | 0s | ICMP | Попытка: 3
